SLNO,RO NAME,BR CODE,BR NAME,ATM ID,LAST TXT DT,DENOM TRAY1,NO OF NOTES,DENOM TRAY2,NO OF NOTES,DENOM TRAY3,NO OF NOTES,DENOM TRAY4,NO OF NOTES,TOTAL CASH AVAILABLE
1,R.O.DINDIGUL,1317,N PARAIPATTI,IOBC3279,47:44.0,100,1,500,0,200,0,2000,0,100
2,R.O.DINDIGUL,2286,BATLAGUNDU,IOBD5382,24:48.0,100,0,500,37,200,3,2000,0,19100
3,R.O.DINDIGUL,1221,MARAMBADI,IOBC1997,33:33.0,100,6,500,154,200,3,2000,0,78200
4,R.O.DINDIGUL,2704,T SUBBULAPURAM,IOBC8612,05:32.0,100,10,500,263,200,11,2000,0,134700
5,R.O.DINDIGUL,3346,VANGAMANUTHU,IOBC9774,23:27.0,100,127,500,268,200,75,2000,0,161700
6,R.O.DINDIGUL,2705,VEMBARPATTI-GOPALPATTI,IOBC8620,36:09.0,100,102,500,328,200,17,2000,0,177600
7,R.O.DINDIGUL,1919,UTHAMAPALAYAM,IOBC1994,19:13.0,100,48,500,351,200,15,2000,0,183300
8,R.O.DINDIGUL,332,DINDIGUL-MAIN,IOBC8602,10:30.0,100,0,500,400,200,0,2000,0,200000
9,R.O.DINDIGUL,1830,COLLECTORATE BRANCH - DINDIGUL,IOBC1571,13:23.0,100,2,500,400,200,0,2000,0,200200
10,R.O.DINDIGUL,1931,PERIYAKULAM,IOBC3407,20:01.0,100,17,500,426,200,14,2000,0,217500
11,R.O.DINDIGUL,1896,THENI MEDICAL COLLEGE,IOBD5427,01:46.0,100,0,500,441,200,0,2000,0,220500
12,R.O.DINDIGUL,2286,BATLAGUNDU,IOBC8607,32:25.0,100,97,500,453,200,16,2000,0,239400
13,R.O.DINDIGUL,1401,SILUKKUWARPATTI,IOBC1969,14:55.0,100,327,500,367,200,130,2000,0,242200
14,R.O.DINDIGUL,2287,ANDIPATTY JAKKAMPATTI,IOBC9775,21:57.0,100,105,500,495,200,53,2000,0,268600
15,R.O.DINDIGUL,3920,BALAKRISHNAPURAM,IOBC9882,19:36.0,100,517,500,396,200,110,2000,0,271700
16,R.O.DINDIGUL,3347,ANAIPATTI,IOBC9244,59:00.0,100,124,500,439,200,402,2000,0,312300
17,R.O.DINDIGUL,243,PATTIVEERANPATTI,IOBC1291,22:41.0,100,4,500,615,200,43,2000,0,316500
