S No,SOL ,Branch,Open,District,Category,Latitude,Longitude,Pincode,Type
1,0174,Theni Allinagaram,20.01.1969,Theni,SEMI URBAN,10.009971,77.478241,625531,Branch
2,0175,Ayakudi,20.01.1969,Dindigul,SEMI URBAN,10.448800,77.553210,624613,Branch
3,0176,Cumbum,20.01.1969,Theni,SEMI URBAN,9.739259,77.285321,625516,Branch
4,0230,Vedasandur,22.06.1970,Dindigul,SEMI URBAN,10.529781,77.950741,624710,Branch
5,0232,Pannaikadu,22.06.1970,Dindigul,RURAL,10.281481,77.630011,624210,Branch
6,0237,Sithayamkottai,29.06.1970,Dindigul,SEMI URBAN,10.266800,77.835180,624708,Branch
7,0243,Pattiveeranpatti,03.08.1970,Dindigul,RURAL,10.206721,77.761331,624211,Branch
8,0332,Dindigul Main,22.12.1972,Dindigul,URBAN,10.360121,77.974231,624001,Branch
9,0376,Palani,30.11.1973,Dindigul,SEMI URBAN,10.451771,77.515591,624601,Branch
10,0883,Rasingapuram,11.08.1982,Theni,RURAL,9.944466,77.336261,625528,Branch
11,0910,Sembatti,23.10.1980,Dindigul,SEMI URBAN,10.282671,77.872551,624707,Branch
12,0911,Kalwarpatti,27.10.1980,Dindigul,RURAL,10.623021,77.939991,624711,Branch
13,0924,Puduchatram,26.12.1980,Dindigul,SEMI URBAN,10.472611,77.794731,624619,Branch
14,1013,Reddiapatti,06.09.1983,Dindigul,RURAL,10.156311,78.197891,624401,Branch
15,1044,Lakshmipuram,03.04.1984,Theni,SEMI URBAN,10.076481,77.516241,625523,Branch
16,1112,Nagayakottai,27.03.1985,Dindigul,RURAL,10.556500,78.070660,624706,Branch
17,1152,Narikkalpatti,30.11.1987,Dindigul,RURAL,10.541271,77.477311,624618,Branch
18,1220,Salaiyur,10.07.1989,Dindigul,URBAN,10.511981,77.884111,624710,Branch
19,1221,Marambadi,10.07.1989,Dindigul,RURAL,10.484391,77.984291,624709,Branch
20,1258,Oddanchatram,04.03.1993,Dindigul,SEMI URBAN,10.486021,77.746651,624619,Branch
21,1314,Dindigul Fort,24.08.1955,Dindigul,URBAN,10.360031,77.977951,624001,Branch
22,1316,Palayam,27.07.1981,Dindigul,SEMI URBAN,10.725311,78.137531,624620,Branch
23,1317,N Paraipatti,09.06.1984,Dindigul,RURAL,10.420261,78.007331,624005,Branch
24,1401,Silukkuwarpatti,08.05.1989,Dindigul,SEMI URBAN,10.152191,77.885721,624215,Branch
25,1560,Chinnamanur,28.11.2003,Theni,SEMI URBAN,9.842196,77.380531,625515,Branch
26,1789,Tamaraikulam,22.03.2007,Theni,SEMI URBAN,10.106431,77.546861,625601,Branch
27,1830,Dindigul Collectorate,27.08.2007,Dindigul,URBAN,10.392841,77.961821,624004,Branch
28,1896,Theni Medical College,05.03.2008,Theni,SEMI URBAN,10.006161,77.554581,625513,Branch
29,1919,Uthamapalayam,27.06.2008,Theni,SEMI URBAN,9.805451,77.335531,625533,Branch
30,1931,Periyakulam,11.08.2008,Theni,SEMI URBAN,10.127351,77.550581,625601,Branch
31,2098,RM Colony,23.03.1994,Dindigul,URBAN,10.368051,77.969071,624001,Branch
32,2286,Batlagundu,10.02.2011,Dindigul,SEMI URBAN,10.168341,77.763521,624202,Branch
33,2287,Andipatti,10.02.2011,Theni,SEMI URBAN,9.999904,77.618681,625512,Branch
34,2288,Natham,10.02.2011,Dindigul,SEMI URBAN,10.224961,78.233211,624401,Branch
35,2461,Vadamadurai,13.07.2011,Dindigul,SEMI URBAN,10.443531,78.100631,624802,Branch
36,2464,Nilakottai,29.06.2011,Dindigul,SEMI URBAN,10.164821,77.853441,624208,Branch
37,2574,Bodinayakanur,04.11.2011,Theni,SEMI URBAN,10.010121,77.351291,625513,Branch
38,2685,Silapadi,22.01.2012,Dindigul,SEMI URBAN,10.381931,78.001641,624005,Branch
39,2686,Chinnalapatti,22.01.2012,Dindigul,SEMI URBAN,10.285391,77.914841,624301,Branch
40,2702,KK Patti,30.01.2012,Theni,SEMI URBAN,9.739308,77.318021,625521,Branch
41,2703,PC Patti,30.01.2012,Theni,SEMI URBAN,10.000561,77.467161,625531,Branch
42,2704,T Subbulapuram,30.01.2012,Theni,SEMI URBAN,10.005381,77.649891,625536,Branch
43,2705,V Gopalpatti,06.02.2012,Dindigul,SEMI URBAN,10.256011,78.121141,624308,Branch
44,2706,K Reddiarchatram,06.02.2012,Dindigul,RURAL,10.431300,77.865490,624622,Branch
45,3164,Sendurai,07.04.2013,Dindigul,SEMI URBAN,10.391411,78.252241,624403,Branch
46,3165,Ponnagaram,12.04.2013,Dindigul,SEMI URBAN,10.342671,77.991681,624003,Branch
47,3166,Thadikombu,12.04.2013,Dindigul,SEMI URBAN,10.438481,77.952911,624709,Branch
48,3346,Vangamanuthu,03.08.2013,Dindigul,RURAL,10.352541,78.098861,624306,Branch
49,3347,Anaipatti,03.08.2013,Dindigul,RURAL,10.095591,77.853351,624219,Branch
50,3436,Kodaikanal,12.12.2013,Dindigul,SEMI URBAN,10.238661,77.496841,624101,Branch
51,3437,Dharumathupatti,08.02.2014,Dindigul,SEMI URBAN,10.342031,77.848551,624705,Branch
52,3548,Boothipuram,06.02.2014,Theni,SEMI URBAN,10.005411,77.446371,625531,Branch
53,3549,Ambilikai,08.02.2014,Dindigul,RURAL,10.539991,77.727871,624612,Branch
54,3920,Balakrishnapuram,00.01.1900,Dindigul,SEMI URBAN,10.360831,78.008781,624005,Branch
