sNo,code,nameEn,nameTa,nameHi,openDate,district,populationGroup,latitude,longitude,pincode,type
1,0174,Theni Allinagaram,தேனி அல்லிநகரம்,थेनी अल्लिनगरम,1969-01-20,Theni,SEMI URBAN,10.009971,77.478241,625531,Branch
2,0175,Ayakudi,ஆயக்குடி,आयकुडी,1969-01-20,Dindigul,SEMI URBAN,10.4488,77.55321,624613,Branch
3,0176,Cumbum,கம்பம்,कम्बम,1969-01-20,Theni,SEMI URBAN,9.739259,77.285321,625516,Branch
4,0230,Vedasandur,வேடசந்தூர்,वेदसंदूर,1970-06-22,Dindigul,SEMI URBAN,10.529781,77.950741,624710,Branch
5,0232,Pannaikadu,பண்ணைக்காடு,पन्नैकाडु,1970-06-22,Dindigul,RURAL,10.281481,77.630011,624210,Branch
6,0237,Sithayamkottai,சித்தையங்கோட்டை,सितयमकोट्टै,1970-06-29,Dindigul,SEMI URBAN,10.2668,77.83518,624708,Branch
7,0243,Pattiveeranpatti,பட்டிவீரன்பட்டி,पट्टीवीरनपट्टी,1970-08-03,Dindigul,RURAL,10.206721,77.761331,624211,Branch
8,0332,Dindigul Main,திண்டுக்கல் மெயின்,डिंडिगुल मेन,1972-12-22,Dindigul,URBAN,10.360121,77.974231,624001,Branch
9,0376,Palani,பழனி,पलानी,1973-11-30,Dindigul,SEMI URBAN,10.451771,77.515591,624601,Branch
10,0883,Rasingapuram,ராசிங்காபுரம்,रासिंगपुरम,1982-08-11,Theni,RURAL,9.944466,77.336261,625528,Branch
11,0910,Sembatti,செம்பட்டி,सेम्बट्टी,1980-10-23,Dindigul,SEMI URBAN,10.282671,77.872551,624707,Branch
12,0911,Kalwarpatti,கல்வார்பட்டி,कलवारपट्टी,1980-10-27,Dindigul,RURAL,10.623021,77.939991,624711,Branch
13,0924,Puduchatram,புதுச்சத்திரம்,पुदुछत्रम,1980-12-26,Dindigul,SEMI URBAN,10.472611,77.794731,624619,Branch
14,1013,Reddiapatti,ரெட்டியாபட்டி,रेड्डियापट्टी,1983-09-06,Dindigul,RURAL,10.156311,78.197891,624401,Branch
15,1044,Lakshmipuram,லட்சுமிபுரம்,लक्ष्मीपुरम,1984-04-03,Theni,SEMI URBAN,10.076481,77.516241,625523,Branch
16,1112,Nagayakottai,நாயக்கன்கோட்டை,नागयकोट्टै,1985-03-27,Dindigul,RURAL,10.556,78.07066,624706,Branch
17,1152,Narikkalpatti,நரிக்கல்பட்டி,நரிக்கல்பட்டி,1987-11-30,Dindigul,RURAL,10.541271,77.477311,624618,Branch
18,1220,Salaiyur,சாலையூர்,सालयூர்,1989-07-10,Dindigul,URBAN,10.511981,77.884111,624710,Branch
19,1221,Marambadi,மரம்பாடி,மரம்பாடி,1989-07-10,Dindigul,RURAL,10.484391,77.984291,624709,Branch
20,1258,Oddanchatram,ஒட்டன்சத்திரம்,ओट्टनछत्रम,1993-03-04,Dindigul,SEMI URBAN,10.486021,77.746651,624619,Branch
21,1314,Dindigul Fort,திண்டுக்கல் கோட்டை,डिंडिगुल फोर्ट,1955-08-24,Dindigul,URBAN,10.360031,77.977951,624001,Branch
22,1316,Palayam,பாளையம்,पालयम,1981-07-27,Dindigul,SEMI URBAN,10.725311,78.137531,624620,Branch
23,1317,N Paraipatti,ந. பாறைப்பட்டி,एन परैपट्टी,1984-06-09,Dindigul,RURAL,10.420261,78.007331,624005,Branch
24,1401,Silukkuwarpatti,சிலுக்குவார்பட்டி,सिलुकुवारपट्टी,1989-05-08,Dindigul,SEMI URBAN,10.152191,77.885721,624215,Branch
25,1560,Chinnamanur,சின்னமனூர்,चिन्नमनூர்,2003-11-28,Theni,SEMI URBAN,9.842196,77.380531,625515,Branch
26,1789,Tamaraikulam,தாமரைகுளம்,तामरैकुलम,2007-03-22,Theni,SEMI URBAN,10.106431,77.546861,625601,Branch
27,1830,Dindigul Collectorate,திண்டுக்கல் மாவட்ட ஆட்சியர் அலுவலகம்,डिंडिगुल कलेक्ट्रेट,2007-08-27,Dindigul,URBAN,10.392841,77.961821,624004,Branch
28,1896,Theni Medical College,தேனி மருத்துவக் கல்லூரி,थेनी मेडिकल कॉलेज,2008-03-05,Theni,SEMI URBAN,10.006161,77.554581,625513,Branch
29,1919,Uthamapalayam,உத்தமபாளையம்,उथ्तमपालयम,2008-06-27,Theni,SEMI URBAN,9.805451,77.335531,625533,Branch
30,1931,Periyakulam,பெரியகுளம்,पेरियकुलम,2008-08-11,Theni,SEMI URBAN,10.127351,77.550581,625601,Branch
31,2098,RM Colony,ஆர்.எம். காலனி,आरएम कॉलोनी,1994-03-23,Dindigul,URBAN,10.368051,77.969071,624001,Branch
32,2286,Batlagundu,வத்தலகுண்டு,वतलगुंडु,2011-02-10,Dindigul,SEMI URBAN,10.168341,77.763521,624202,Branch
33,2287,Andipatti,ஆண்டிபட்டி,आंडीपट्टी,2011-02-10,Theni,SEMI URBAN,9.999904,77.618681,625512,Branch
34,2288,Natham,நத்தம்,नथम,2011-02-10,Dindigul,SEMI URBAN,10.224961,78.233211,624401,Branch
35,2461,Vadamadurai,வடமதுரை,वडमदुरै,2011-07-13,Dindigul,SEMI URBAN,10.443531,78.100631,624802,Branch
36,2464,Nilakottai,நிலக்கோட்டை,निलकोट्टै,2011-06-29,Dindigul,SEMI URBAN,10.164821,77.853441,624208,Branch
37,2574,Bodinayakanur,போடிநாயக்கனூர்,बोडिनायक्कனூர்,2011-11-04,Theni,SEMI URBAN,10.010121,77.351291,625513,Branch
38,2685,Silapadi,சீலப்பாடி,सीलपाडी,2012-01-22,Dindigul,SEMI URBAN,10.381931,78.001641,624005,Branch
39,2686,Chinnalapatti,சின்னாளப்பட்டி,चिन्नाळपट्टी,2012-01-22,Dindigul,SEMI URBAN,10.285391,77.914841,624301,Branch
40,2702,KK Patti,கே.கே. பட்டி,केके पट्टी,2012-01-30,Theni,SEMI URBAN,9.739308,77.318021,625521,Branch
