id,code,nameEn,nameTa,nameHi,createdAt,updatedAt,sealPath
3f1d6dd7-ca7d-43b9-85d9-4668eb4a7109,ARID,Agri & Rural Initiatives Division,விவசாயம் மற்றும் ஊரக முயற்சி பிரிவு,कृषि और ग्रामीण पहल प्रभाग,2026-02-24T07:06:36.728Z,2026-02-27T06:48:42.497Z,
02540cf6-f297-4fda-9ec5-9ed9453c20e9,CRMD,Credit Monitoring Department,கடன் கண்காணிப்புத் துறை,ऋण निगरानी विभाग,2026-02-24T07:06:36.735Z,2026-02-27T06:48:42.504Z,
0b9e5956-f086-4982-8c77-5a7af0392da2,FI,Financial Inclusion,நிதி உள்ளடக்கம்,वित्तीय समावेशन,2026-02-24T07:06:36.723Z,2026-02-27T06:48:42.506Z,
e52f8841-97ef-4fb4-9782-6d3a173d442e,GAD,General Administration Department,பொது நிர்வாகத் துறை,सामान्य प्रशासन विभाग,2026-02-24T07:06:36.737Z,2026-02-27T06:48:42.508Z,
82bce1f3-9a7a-4515-8825-0ef939399090,HRMD,Human Resources Management Department,மனித வள மேலாண்மைத் துறை,मानव संसाधन प्रबंधन विभाग,2026-02-24T07:06:36.740Z,2026-02-27T06:48:42.509Z,
21e17e9a-9750-4966-95de-49be89007990,INSP,Inspection Department,ஆய்வுத் துறை,निरीक्षण विभाग,2026-02-24T07:06:36.741Z,2026-02-27T06:48:42.511Z,
a403ee23-72ca-40db-a3d0-c48de79f8165,LAW,Law Department,சட்டத் துறை,कानून विभाग,2026-02-24T07:06:36.733Z,2026-02-27T06:48:42.513Z,
0457884a-6408-4ead-8c20-022971196ba3,OLD,Official Language Department,ஆட்சிமொழித் துறை,राजभाषा विभाग,2026-02-24T07:06:36.743Z,2026-02-27T06:48:42.514Z,
62a622f6-d9f8-4c11-a93a-468921f660dc,MSME ADV,MSME Division,MSME பிரிவு,MSME प्रभाग,2026-02-24T07:06:36.746Z,2026-02-27T06:48:42.519Z,
75fa1fce-c43c-498e-9d2a-8260aa668c9c,VIGIL,Vigilance Department,விழிப்புணர்வுத் துறை,सतर्कता विभाग,2026-02-24T07:06:36.748Z,2026-02-27T06:48:42.521Z,
1be7f75e-165d-40c0-a44c-334249151644,SEC,Security Department,பாதுகாப்புத் துறை,सुरक्षा विभाग,2026-02-24T07:06:36.745Z,2026-02-27T06:48:42.522Z,
6741d7c1-8ac8-4f6a-afa1-f4e29d43212d,RET ADV,Retail Division,சில்லறை விற்பனைப் பிரிவு,खुदरा प्रभाग,2026-02-24T07:06:36.747Z,2026-02-27T11:30:58.362Z,
c4a352ee-b12c-4822-bdae-7ab7e087ad17,PLNG,Planning Department,திட்டமிடல் துறை,योजना विभाग,2026-02-24T07:06:36.729Z,2026-03-24T11:46:33.911Z,assets/Planning Seal.svg
0d64ca92-d1e9-4bde-95a3-6eb542efeb42,CSD,Customer Service Department,,,2026-02-24T07:06:36.732Z,2026-02-24T08:17:59.638Z,
de96abe6-68e4-4d81-9f94-76c9a054442e,CRD,Credit Department,கடன் பிரிவு,ऋण विभाग,2026-04-09T13:00:15.907Z,2026-04-09T13:00:15.907Z,
1b78d626-5d8a-4625-aa87-e58304765bd6,OPS,Operations Department,இயக்கப் பிரிவு,परिचालन विभाग,2026-04-09T13:00:16.024Z,2026-04-09T13:00:16.024Z,
1c1103f6-6dba-48d3-a8aa-4a42500d9325,COMP,Compliance & Risk,இணக்கம் மற்றும் அபாயம்,अनुपालन और जोखिम,2026-02-24T07:06:36.730Z,2026-04-09T13:00:16.028Z,
a1b3d0a9-4b37-42da-a32f-b88bcd70b52f,HR,Human Resources,மனித வளம்,मानव संसाधन,2026-04-09T13:00:16.031Z,2026-04-09T13:00:16.031Z,
adbc6448-8f8e-42a0-b93f-aa430c6c07db,IT,Information Technology,தகவல் தொழில்நுட்பம்,सूचना प्रौद्योगिकी,2026-04-09T13:00:16.034Z,2026-04-09T13:00:16.034Z,
0991c4f1-b196-4bad-a7cc-746caaf437d7,AUD,Audit Department,தணிக்கைப் பிரிவு,अंकेक्षण विभाग,2026-04-09T13:00:16.037Z,2026-04-09T13:00:16.037Z,
f534fbab-63a3-4622-a8cc-1e40ac0fdf47,GOVT ACCTS,Government Accounts Division,,,2026-02-24T07:06:36.738Z,2026-02-24T08:18:25.984Z,
bc7b632b-f71b-4285-8d7e-a173027f2aed,MDD,Marketing and Development Department,,,2026-02-24T07:06:36.749Z,2026-02-24T08:19:02.876Z,
03be703b-1447-4409-9083-7cf42b7d4a5c,PRD,Public Relations Department,,,2026-02-24T07:06:36.744Z,2026-02-24T08:19:25.770Z,
ef27b6ed-12e5-498e-a1ca-ffe19a960754,RCC,Regional Computer Center,,,2026-02-24T07:06:36.742Z,2026-02-24T08:19:31.365Z,
