id,snapshotId,unitId,businessDate,type,severity,parameter,message,triggerValue,ruleId,status,taskId,createdAt
4a582133-57fa-4931-a713-f18c931e2c37,b1122783-1cc7-4ac9-9fc9-e8c85c94fb2c,43ec63eb-aa87-4ae6-88d6-8a1a8e4fb38a,2026-03-17T00:00:00.000Z,LIQUIDITY,HIGH,CD_Ratio,CD Ratio above 85% safety limit: 109.34%,109.34%,RULE-LIQ-01,OPEN,,2026-03-23T08:25:30.388Z
dc7f1ada-5062-498a-979f-7c89ccb54cff,b1122783-1cc7-4ac9-9fc9-e8c85c94fb2c,43ec63eb-aa87-4ae6-88d6-8a1a8e4fb38a,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Agri_JL,Negative daily movement detected: -6.00. Portfolio performance lagging.,-6,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
bc1cdaa1-56f2-4ffd-9d5c-2451a7a1b3ec,b1122783-1cc7-4ac9-9fc9-e8c85c94fb2c,43ec63eb-aa87-4ae6-88d6-8a1a8e4fb38a,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,MSME,Negative daily movement detected: -3.00. Portfolio performance lagging.,-3,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
1665c0f4-ee4d-4f54-a5c7-74cf8a6ecf36,54bbeee5-6ed9-4739-8967-0183b5a917ee,3cc2177f-b5f0-44d1-8342-4cd437892828,2026-03-17T00:00:00.000Z,LIQUIDITY,HIGH,CD_Ratio,CD Ratio above 85% safety limit: 165.01%,165.01%,RULE-LIQ-01,OPEN,,2026-03-23T08:25:30.388Z
6a84df49-29b7-4e5b-8fb4-48ac4c376882,54bbeee5-6ed9-4739-8967-0183b5a917ee,3cc2177f-b5f0-44d1-8342-4cd437892828,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Ret-Gold,Negative daily movement detected: -4.00. Portfolio performance lagging.,-4,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
fae64d31-1715-43c2-88c2-e39e3e5d7b01,54bbeee5-6ed9-4739-8967-0183b5a917ee,3cc2177f-b5f0-44d1-8342-4cd437892828,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,PersonalLoan,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
c239a84f-f022-4f11-8f4a-32b2c356adc3,54bbeee5-6ed9-4739-8967-0183b5a917ee,3cc2177f-b5f0-44d1-8342-4cd437892828,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,MSME,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
87bd42e2-c55d-45a4-94e5-59360790f47f,54bbeee5-6ed9-4739-8967-0183b5a917ee,3cc2177f-b5f0-44d1-8342-4cd437892828,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Mudra,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
70b8bb7e-7a52-4496-87ee-64c774224126,58fcde65-48c1-48b0-9ef6-9d1dee45b344,e99f625c-0658-4f50-8184-a276c14c9b25,2026-03-17T00:00:00.000Z,RISK,CRITICAL,CD,Significant daily increase detected (21.6%). Potential operational error or major portfolio shift.,29.00,RULE-OP-RISK,OPEN,,2026-03-23T08:25:30.388Z
f4b9fffe-d8a7-4184-8acc-aea00af39cd9,58fcde65-48c1-48b0-9ef6-9d1dee45b344,e99f625c-0658-4f50-8184-a276c14c9b25,2026-03-17T00:00:00.000Z,LIQUIDITY,HIGH,CD_Ratio,CD Ratio above 85% safety limit: 134.96%,134.96%,RULE-LIQ-01,OPEN,,2026-03-23T08:25:30.388Z
72f21758-5c82-4d21-b18a-ffe9506e46c5,58fcde65-48c1-48b0-9ef6-9d1dee45b344,e99f625c-0658-4f50-8184-a276c14c9b25,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Core Ret,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
a7d961f7-6284-4c51-a7b7-954f56d6c8f5,58fcde65-48c1-48b0-9ef6-9d1dee45b344,e99f625c-0658-4f50-8184-a276c14c9b25,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,VL,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
23019a84-f2db-4351-a98a-08dd42485678,58fcde65-48c1-48b0-9ef6-9d1dee45b344,e99f625c-0658-4f50-8184-a276c14c9b25,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Mort,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
23f6f442-8246-4940-9cc5-e57ba3e1004e,0de43f5e-d238-4415-a27d-535ce246e77c,e169de9b-e18f-4a53-aade-923b0f360a35,2026-03-17T00:00:00.000Z,LIQUIDITY,HIGH,CD_Ratio,CD Ratio above 85% safety limit: 129.81%,129.81%,RULE-LIQ-01,OPEN,,2026-03-23T08:25:30.388Z
a2e81102-28be-4dd4-ab81-a552757d5e63,0de43f5e-d238-4415-a27d-535ce246e77c,e169de9b-e18f-4a53-aade-923b0f360a35,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Core Adv,Negative daily movement detected: -3.00. Portfolio performance lagging.,-3,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
7b51f8a1-bd7b-4d30-900c-40448f320a23,0de43f5e-d238-4415-a27d-535ce246e77c,e169de9b-e18f-4a53-aade-923b0f360a35,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,Core_Agri,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
694daa0b-c542-46d0-b12e-7d814a921314,0de43f5e-d238-4415-a27d-535ce246e77c,e169de9b-e18f-4a53-aade-923b0f360a35,2026-03-17T00:00:00.000Z,GROWTH,MEDIUM,SHG,Negative daily movement detected: -1.00. Portfolio performance lagging.,-1,RULE-DAILY-DECLINE,OPEN,,2026-03-23T08:25:30.388Z
