id,key,value,dataType,group,updatedAt
d8e5cd79-69a9-446f-af9e-f68c113dec1f,MIN_OPENING_BALANCE,500,NUMBER,PLANNING,2026-02-24T08:50:07.690Z
af5947e1-905c-4c13-8a5f-489c5feb4aed,PREMIUM_BALANCE_THRESHOLD,1000000,NUMBER,PLANNING,2026-02-24T09:42:31.308Z
279ede87-abbf-4351-85ef-b9c960944230,OPTIONAL_REVERSAL_WINDOW_DAYS,30,NUMBER,PLANNING,2026-02-24T09:42:31.310Z
fbccb44e-728f-40d2-8ffb-337c55957aff,LETTER_FY_DECLINE_PARAMS,"TOTAL_DEPOSITS,CASA,TOTAL_ADVANCES",STRING,LETTER_CRITERIA,2026-03-16T07:07:02.253Z
938a5614-289d-4b46-a114-4364cb8e3884,LETTER_ENABLED_PARAMS,*,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.799Z
8cf6a774-1145-46c0-9a71-cf3c1f922c54,LETTER_INVERT_PARAMS,GROSS_NPA,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.806Z
c18e75cb-e303-4e51-8cc9-a24547312ceb,LETTER_APPRECIATION_TOP_N,100,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.807Z
c809d462-c692-4fb5-a9e7-8010ac4d4ff5,LETTER_EXPLANATION_BOTTOM_N,100,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.808Z
184e9463-fe6a-499d-bec2-bcd18c17515d,LETTER_OPRISK_FROM_EXCEPTIONS,true,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.809Z
59446e9b-36e1-4ad1-8a17-802b431ccddc,LETTER_APPRECIATION_THRESHOLD,100,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.811Z
0bf6e7cb-dfcf-4b51-9eba-88b222a7aa82,LETTER_EXPLANATION_THRESHOLD,80,STRING,LETTER_CRITERIA,2026-04-02T10:47:01.812Z
a4635133-85a2-411c-a62a-2c40239a0f96,MIN_SB_BALANCE_THRESHOLD,501,NUMBER,PLANNING,2026-04-21T17:13:33.611Z
5556de40-6592-433c-a5e3-91e8c0bdcb1d,MIN_CD_BALANCE_THRESHOLD,2000,NUMBER,PLANNING,2026-04-21T17:13:33.964Z
67ecefbe-4207-4cc6-8c1f-cb9368fd19c9,PRODUCT_ADOPTION_SCHEMES,"[""CDSUB""]",JSON,PLANNING,2026-04-21T17:13:34.325Z
